"CONTENT TYPE","TITLE","ABBR","ISSN","e-ISSN","PUBLICATION RANGE: START","PUBLICATION RANGE: LATEST PUBLISHED","SHORTCUT URL","ARCHIVE URL"
"Anils","ACM Computing Surveys ","ACM Comput. Surv.","0360-0300","1557-7341","Volume 1 Issue 1 (March 1969)","Volume 46 Issue 1 (October 2013)","http://dl.acm.org/citation.cfm?id=J204","http://dl.acm.org/citation.cfm?id=J204&picked=prox"
"Journals","ACM Journal of Computer Documentation ","ACM J. Comput. Doc.","1527-6805","1557-9441","Volume 24 Issue 1 (Feb. 1, 2000)","Volume 26 Issue 4 (November 2002)","http://dl.acm.org/citation.cfm?id=J24","http://dl.acm.org/citation.cfm?id=J24&picked=prox"
